id,crop_type,supplier,crop_date,crop_supply,crop_price
76,TG,A,2019-03-17,0,0
77,TG,A,2019-03-18,3370,3530
78,TG,A,2019-03-19,1435,3372
79,TG,A,2019-03-20,2690,3609
80,TG,A,2019-03-21,665,3961
81,TG,A,2019-03-22,207,4768
82,TG,A,2019-03-23,931,5408
83,TG,A,2019-03-24,0,0
84,TG,A,2019-03-25,950,5265
85,TG,A,2019-03-26,2090,3443
86,TG,A,2019-03-27,2450,3650
87,TG,A,2019-03-28,242,6215
88,TG,A,2019-03-29,0,0
89,TG,A,2019-03-30,716,4774
90,TG,A,2019-03-31,0,0
91,TG,A,2019-04-01,120,8733
92,TG,A,2019-04-02,1310,3876
93,TG,A,2019-04-03,930,2533
94,TG,A,2019-04-04,0,0
95,TG,A,2019-04-05,0,0
96,TG,A,2019-04-06,0,0
97,TG,A,2019-04-07,0,0
98,TG,A,2019-04-08,0,0
99,TG,A,2019-04-09,0,0
100,TG,A,2019-04-10,0,0
101,TG,A,2019-04-11,369,6667
102,TG,A,2019-04-12,1393,5312
103,TG,A,2019-04-13,69,6667
104,TG,A,2019-04-14,0,0
105,TG,A,2019-04-15,0,0
106,TG,A,2019-04-16,0,0
107,TG,A,2019-04-17,0,0
108,TG,A,2019-04-18,0,0
109,TG,A,2019-04-19,576,2917
110,TG,A,2019-04-20,0,0
111,TG,A,2019-04-21,0,0
112,TG,A,2019-04-22,750,4619
113,TG,A,2019-04-23,380,3926
114,TG,A,2019-04-24,770,2525
115,TG,A,2019-04-25,0,0
116,TG,A,2019-04-26,0,0
117,TG,A,2019-04-27,0,0
118,TG,A,2019-04-28,0,0
119,TG,A,2019-04-29,0,0
120,TG,A,2019-04-30,0,0
121,TG,A,2019-05-01,1070,3837
122,TG,A,2019-05-02,0,0
123,TG,A,2019-05-03,0,0
124,TG,A,2019-05-04,0,0
125,TG,A,2019-05-05,0,0
126,TG,A,2019-05-06,1600,3932
127,TG,A,2019-05-07,0,0
128,TG,A,2019-05-08,0,0
129,TG,A,2019-05-09,252,8841
130,TG,A,2019-05-10,2083,5662
131,TG,A,2019-05-11,658,5181
132,TG,A,2019-05-12,0,0
133,TG,A,2019-05-13,0,0
134,TG,A,2019-05-14,843,6300
135,TG,A,2019-05-15,206,8587
136,TG,A,2019-05-16,0,0
137,TG,A,2019-05-17,382,8809
138,TG,A,2019-05-18,0,0
139,TG,A,2019-05-19,0,0
140,TG,A,2019-05-20,0,0
141,TG,A,2019-05-21,0,0
142,TG,A,2019-05-22,0,0
143,TG,A,2019-05-23,0,0
144,TG,A,2019-05-24,0,0
145,TG,A,2019-05-25,0,0
146,TG,A,2019-05-26,0,0
147,TG,A,2019-05-27,0,0
148,TG,A,2019-05-28,0,0
149,TG,A,2019-05-29,0,0
150,TG,A,2019-05-30,0,0
151,TG,A,2019-05-31,0,0
152,TG,A,2019-06-01,315,7479
153,TG,A,2019-06-02,0,0
154,TG,A,2019-06-03,308,6953
155,TG,A,2019-06-04,0,0
156,TG,A,2019-06-05,0,0
157,TG,A,2019-06-06,0,0
158,TG,A,2019-06-07,0,0
159,TG,A,2019-06-08,0,0
160,TG,A,2019-06-09,0,0
161,TG,A,2019-06-10,0,0
162,TG,A,2019-06-11,0,0
163,TG,A,2019-06-12,0,0
164,TG,A,2019-06-13,0,0
165,TG,A,2019-06-14,0,0
166,TG,A,2019-06-15,0,0
167,TG,A,2019-06-16,0,0
168,TG,A,2019-06-17,0,0
169,TG,A,2019-06-18,0,0
170,TG,A,2019-06-19,0,0
171,TG,A,2019-06-20,0,0
172,TG,A,2019-06-21,498,6292
173,TG,A,2019-06-22,0,0
174,TG,A,2019-06-23,0,0
175,TG,A,2019-06-24,0,0
176,TG,A,2019-06-25,0,0
177,TG,A,2019-06-26,0,0
178,TG,A,2019-06-27,720,5580
179,TG,A,2019-06-28,0,0
180,TG,A,2019-06-29,0,0
181,TG,A,2019-06-30,0,0
182,TG,A,2019-07-01,0,0
183,TG,A,2019-07-02,0,0
184,TG,A,2019-07-03,0,0
185,TG,A,2019-07-04,0,0
186,TG,A,2019-07-05,0,0
187,TG,A,2019-07-06,552,5261
188,TG,A,2019-07-07,0,0
189,TG,A,2019-07-08,900,5424
190,TG,A,2019-07-09,0,0
191,TG,A,2019-07-10,0,0
192,TG,A,2019-07-11,0,0
193,TG,A,2019-07-12,0,0
194,TG,A,2019-07-13,0,0
195,TG,A,2019-07-14,0,0
196,TG,A,2019-07-15,0,0
197,TG,A,2019-07-16,0,0
198,TG,A,2019-07-17,660,4735
199,TG,A,2019-07-18,360,4133
200,TG,A,2019-07-19,0,0
201,TG,A,2019-07-20,0,0
202,TG,A,2019-07-21,0,0
203,TG,A,2019-07-22,135,6163
204,TG,A,2019-07-23,141,5745
205,TG,A,2019-07-24,0,0
206,TG,A,2019-07-25,0,0
207,TG,A,2019-07-26,0,0
208,TG,A,2019-07-27,3190,5897
209,TG,A,2019-07-28,0,0
210,TG,A,2019-07-29,0,0
211,TG,A,2019-07-30,0,0
212,TG,A,2019-07-31,0,0
213,TG,A,2019-08-01,0,0
214,TG,A,2019-08-02,340,4885
215,TG,A,2019-08-03,0,0
216,TG,A,2019-08-04,0,0
217,TG,A,2019-08-05,339,4667
218,TG,A,2019-08-06,0,0
219,TG,A,2019-08-07,0,0
220,TG,A,2019-08-08,735,5672
221,TG,A,2019-08-09,0,0
222,TG,A,2019-08-10,171,2468
223,TG,A,2019-08-11,0,0
224,TG,A,2019-08-12,0,0
225,TG,A,2019-08-13,2538,4824
226,TG,A,2019-08-14,0,0
227,TG,A,2019-08-15,531,3934
228,TG,A,2019-08-16,0,0
229,TG,A,2019-08-17,0,0
230,TG,A,2019-08-18,0,0
231,TG,A,2019-08-19,0,0
232,TG,A,2019-08-20,0,0
233,TG,A,2019-08-21,0,0
234,TG,A,2019-08-22,0,0
235,TG,A,2019-08-23,0,0
236,TG,A,2019-08-24,0,0
237,TG,A,2019-08-25,0,0
238,TG,A,2019-08-26,0,0
239,TG,A,2019-08-27,0,0
240,TG,A,2019-08-28,1111,3391
241,TG,A,2019-08-29,0,0
242,TG,A,2019-08-30,192,4438
243,TG,A,2019-08-31,420,4319
244,TG,A,2019-09-01,0,0
245,TG,A,2019-09-02,1599,5728
246,TG,A,2019-09-03,446,2652
247,TG,A,2019-09-04,132,5545
248,TG,A,2019-09-05,1038,3834
249,TG,A,2019-09-06,0,0
250,TG,A,2019-09-07,598,3325
251,TG,A,2019-09-08,0,0
252,TG,A,2019-09-09,300,5947
253,TG,A,2019-09-10,1344,3580
254,TG,A,2019-09-11,276,3667
255,TG,A,2019-09-12,57,3750
256,TG,A,2019-09-13,0,0
257,TG,A,2019-09-14,0,0
258,TG,A,2019-09-15,0,0
259,TG,A,2019-09-16,350,3400
260,TG,A,2019-09-17,100,1900
261,TG,A,2019-09-18,0,0
262,TG,A,2019-09-19,0,0
263,TG,A,2019-09-20,0,0
264,TG,A,2019-09-21,200,2800
265,TG,A,2019-09-22,0,0
266,TG,A,2019-09-23,0,0
267,TG,A,2019-09-24,200,2800
268,TG,A,2019-09-25,200,1900
269,TG,A,2019-09-26,0,0
270,TG,A,2019-09-27,0,0
271,TG,A,2019-09-28,0,0
272,TG,A,2019-09-29,0,0
273,TG,A,2019-09-30,2406,2164
274,TG,A,2019-10-01,1800,1719
275,TG,A,2019-10-02,2270,1439
276,TG,A,2019-10-03,4360,1137
277,TG,A,2019-10-04,0,0
278,TG,A,2019-10-05,1700,1585
279,TG,A,2019-10-06,0,0
280,TG,A,2019-10-07,9640,1419
281,TG,A,2019-10-08,4790,1471
282,TG,A,2019-10-09,8265,1654
283,TG,A,2019-10-10,1915,1428
284,TG,A,2019-10-11,9475,1514
285,TG,A,2019-10-12,15040,1930
286,TG,A,2019-10-13,0,0
287,TG,A,2019-10-14,29160,1208
288,TG,A,2019-10-15,22570,1137
289,TG,A,2019-10-16,16964,947
290,TG,A,2019-10-17,17945,1167
291,TG,A,2019-10-18,6980,1568
292,TG,A,2019-10-19,12485,1530
293,TG,A,2019-10-20,0,0
294,TG,A,2019-10-21,16025,1349
295,TG,A,2019-10-22,11310,1412
296,TG,A,2019-10-23,13300,1011
297,TG,A,2019-10-24,23310,1607
298,TG,A,2019-10-25,20355,948
299,TG,A,2019-10-26,10693,952
300,TG,A,2019-10-27,0,0
301,TG,A,2019-10-28,21343,1054
302,TG,A,2019-10-29,17460,792
303,TG,A,2019-10-30,17141,853
304,TG,A,2019-10-31,14600,644
305,TG,A,2019-11-01,26440,866
306,TG,A,2019-11-02,18825,859
307,TG,A,2019-11-03,0,0
308,TG,A,2019-11-04,15318,780
309,TG,A,2019-11-05,19985,859
310,TG,A,2019-11-06,11968,797
311,TG,A,2019-11-07,11530,934
312,TG,A,2019-11-08,20500,897
313,TG,A,2019-11-09,8090,1143
314,TG,A,2019-11-10,0,0
315,TG,A,2019-11-11,25938,1036
316,TG,A,2019-11-12,13783,943
317,TG,A,2019-11-13,23410,927
318,TG,A,2019-11-14,29865,969
319,TG,A,2019-11-15,22600,897
320,TG,A,2019-11-16,16150,876
321,TG,A,2019-11-17,0,0
322,TG,A,2019-11-18,16584,848
323,TG,A,2019-11-19,12745,602
324,TG,A,2019-11-20,9600,878
325,TG,A,2019-11-21,13965,1202
326,TG,A,2019-11-22,10305,1267
327,TG,A,2019-11-23,11281,1451
328,TG,A,2019-11-24,0,0
329,TG,A,2019-11-25,16544,1143
330,TG,A,2019-11-26,17345,843
331,TG,A,2019-11-27,17100,898
332,TG,A,2019-11-28,15290,911
333,TG,A,2019-11-29,5571,1389
334,TG,A,2019-11-30,3350,1483
335,TG,A,2019-12-01,0,0
336,TG,A,2019-12-02,16329,1252
337,TG,A,2019-12-03,7610,1110
338,TG,A,2019-12-04,20210,1153
339,TG,A,2019-12-05,21502,1100
340,TG,A,2019-12-06,19540,869
341,TG,A,2019-12-07,23467,765
342,TG,A,2019-12-08,0,0
343,TG,A,2019-12-09,16980,1100
344,TG,A,2019-12-10,12750,754
345,TG,A,2019-12-11,15054,789
346,TG,A,2019-12-12,78287,1135
347,TG,A,2019-12-13,68517,1216
348,TG,A,2019-12-14,16205,838
349,TG,A,2019-12-15,0,0
350,TG,A,2019-12-16,20223,1147
351,TG,A,2019-12-17,11280,723
352,TG,A,2019-12-18,19940,903
353,TG,A,2019-12-19,12610,928
354,TG,A,2019-12-20,15472,796
355,TG,A,2019-12-21,18081,1029
356,TG,A,2019-12-22,0,0
357,TG,A,2019-12-23,20077,870
358,TG,A,2019-12-24,15662,1279
359,TG,A,2019-12-25,13070,803
360,TG,A,2019-12-26,9610,908
361,TG,A,2019-12-27,12205,770
362,TG,A,2019-12-28,15340,787
363,TG,A,2019-12-29,0,0
364,TG,A,2019-12-30,14140,1047
365,TG,A,2019-12-31,7370,923
366,TG,A,2020-01-01,0,0
367,TG,A,2020-01-02,0,0
368,TG,A,2020-01-03,34570,992
369,TG,A,2020-01-04,8226,1043
370,TG,A,2020-01-05,0,0
371,TG,A,2020-01-06,14630,1070
372,TG,A,2020-01-07,8960,864
373,TG,A,2020-01-08,11070,800
374,TG,A,2020-01-09,11590,785
375,TG,A,2020-01-10,8830,938
376,TG,A,2020-01-11,10680,928
377,TG,A,2020-01-12,0,0
378,TG,A,2020-01-13,21622,2662
379,TG,A,2020-01-14,10931,2044
380,TG,A,2020-01-15,8290,2740
381,TG,A,2020-01-16,8690,2125
382,TG,A,2020-01-17,16967,1754
383,TG,A,2020-01-18,8520,2109
384,TG,A,2020-01-19,0,0
385,TG,A,2020-01-20,8490,2433
386,TG,A,2020-01-21,3796,2022
387,TG,A,2020-01-22,12830,1602
388,TG,A,2020-01-23,16955,1050
389,TG,A,2020-01-24,1620,5685
390,TG,A,2020-01-25,0,0
391,TG,A,2020-01-26,0,0
392,TG,A,2020-01-27,0,0
393,TG,A,2020-01-28,1000,1650
394,TG,A,2020-01-29,2084,5054
395,TG,A,2020-01-30,3045,1177
396,TG,A,2020-01-31,615,1449
397,TG,A,2020-02-01,3170,1309
398,TG,A,2020-02-02,0,0
399,TG,A,2020-02-03,5040,756
400,TG,A,2020-02-04,4300,748
401,TG,A,2020-02-05,7060,727
402,TG,A,2020-02-06,3760,873
403,TG,A,2020-02-07,1500,778
404,TG,A,2020-02-08,6130,1093
405,TG,A,2020-02-09,0,0
406,TG,A,2020-02-10,5510,1210
407,TG,A,2020-02-11,3830,1248
408,TG,A,2020-02-12,8180,1235
409,TG,A,2020-02-13,6530,1374
410,TG,A,2020-02-14,6430,854
411,TG,A,2020-02-15,5310,1413
412,TG,A,2020-02-16,0,0
413,TG,A,2020-02-17,5080,1643
414,TG,A,2020-02-18,3566,1367
415,TG,A,2020-02-19,6431,2075
416,TG,A,2020-02-20,3680,1733
417,TG,A,2020-02-21,6090,2268
418,TG,A,2020-02-22,2330,2348
419,TG,A,2020-02-23,0,0
420,TG,A,2020-02-24,480,4554
421,TG,A,2020-02-25,839,3822
422,TG,A,2020-02-26,2473,3701
423,TG,A,2020-02-27,0,0
424,TG,A,2020-02-28,750,2800
425,TG,A,2020-02-29,0,0
426,TG,A,2020-03-01,0,0
427,TG,A,2020-03-02,7106,3371
428,TG,A,2020-03-03,1000,1200
429,TG,A,2020-03-04,242,3620
430,TG,A,2020-03-05,1000,3703
431,TG,A,2020-03-06,222,4667
432,TG,A,2020-03-07,0,0
433,TG,A,2020-03-08,0,0
434,TG,A,2020-03-09,530,2781
435,TG,A,2020-03-10,1810,4077
436,TG,A,2020-03-11,300,4267
437,TG,A,2020-03-12,0,0
438,TG,A,2020-03-13,800,4550
439,TG,A,2020-03-14,0,0
440,TG,A,2020-03-15,0,0
441,TG,A,2020-03-16,1430,4638
442,TG,A,2020-03-17,0,0
443,TG,A,2020-03-18,130,3454
444,TG,A,2020-03-19,1600,4575
445,TG,A,2020-03-20,2240,5338
446,TG,A,2020-03-21,3400,5014
447,TG,A,2020-03-22,0,0
448,TG,A,2020-03-23,1600,4634
449,TG,A,2020-03-24,450,5600
450,TG,A,2020-03-25,13420,4798
451,TG,A,2020-03-26,910,4951
452,TG,A,2020-03-27,4305,3752
453,TG,A,2020-03-28,1740,4147
454,TG,A,2020-03-29,0,0
455,TG,A,2020-03-30,260,4338
456,TG,A,2020-03-31,1280,4864
457,TG,A,2020-04-01,0,0
458,TG,A,2020-04-02,1566,5391
459,TG,A,2020-04-03,2170,5453
460,TG,A,2020-04-04,2140,5712
461,TG,A,2020-04-05,0,0
462,TG,A,2020-04-06,1660,5531
463,TG,A,2020-04-07,3892,4562
464,TG,A,2020-04-08,2050,5752
465,TG,A,2020-04-09,1224,6146
466,TG,A,2020-04-10,2172,5584
467,TG,A,2020-04-11,1794,6340
468,TG,A,2020-04-12,0,0
469,TG,A,2020-04-13,3496,5708
470,TG,A,2020-04-14,3633,4952
471,TG,A,2020-04-15,3714,5027
472,TG,A,2020-04-16,3773,4741
473,TG,A,2020-04-17,2344,6080
474,TG,A,2020-04-18,3697,5728
475,TG,A,2020-04-19,0,0
476,TG,A,2020-04-20,1431,5176
477,TG,A,2020-04-21,2883,3246
478,TG,A,2020-04-22,3502,3605
479,TG,A,2020-04-23,2347,3463
480,TG,A,2020-04-24,1150,3323
481,TG,A,2020-04-25,1207,3838
482,TG,A,2020-04-26,0,0
483,TG,A,2020-04-27,2154,5263
484,TG,A,2020-04-28,956,4358
485,TG,A,2020-04-29,0,0
486,TG,A,2020-04-30,338,9000
487,TG,A,2020-05-01,674,5316
488,TG,A,2020-05-02,45,5000
489,TG,A,2020-05-03,0,0
490,TG,A,2020-05-04,80,9000
491,TG,A,2020-05-05,0,0
492,TG,A,2020-05-06,0,0
493,TG,A,2020-05-07,37,10000
494,TG,A,2020-05-08,0,0
495,TG,A,2020-05-09,132,8000
496,TG,A,2020-05-10,0,0
497,TG,A,2020-05-11,298,7801
498,TG,A,2020-05-12,24,8490
499,TG,A,2020-05-13,0,0
500,TG,A,2020-05-14,102,8694
501,TG,A,2020-05-15,0,0
502,TG,A,2020-05-16,166,8198
503,TG,A,2020-05-17,0,0
504,TG,A,2020-05-18,139,7806
505,TG,A,2020-05-19,0,0
506,TG,A,2020-05-20,0,0
507,TG,A,2020-05-21,0,0
508,TG,A,2020-05-22,0,0
509,TG,A,2020-05-23,0,0
510,TG,A,2020-05-24,0,0
511,TG,A,2020-05-25,0,0
512,TG,A,2020-05-26,0,0
513,TG,A,2020-05-27,0,0
514,TG,A,2020-05-28,0,0
515,TG,A,2020-05-29,0,0
516,TG,A,2020-05-30,0,0
517,TG,A,2020-05-31,0,0
518,TG,A,2020-06-01,0,0
519,TG,A,2020-06-02,0,0
520,TG,A,2020-06-03,0,0
521,TG,A,2020-06-04,0,0
522,TG,A,2020-06-05,1374,6157
523,TG,A,2020-06-06,0,0
524,TG,A,2020-06-07,0,0
525,TG,A,2020-06-08,0,0
526,TG,A,2020-06-09,1338,7311
527,TG,A,2020-06-10,162,7383
528,TG,A,2020-06-11,0,0
529,TG,A,2020-06-12,0,0
530,TG,A,2020-06-13,0,0
531,TG,A,2020-06-14,0,0
532,TG,A,2020-06-15,0,0
533,TG,A,2020-06-16,150,6580
534,TG,A,2020-06-17,0,0
535,TG,A,2020-06-18,1821,7013
536,TG,A,2020-06-19,120,6933
537,TG,A,2020-06-20,0,0
538,TG,A,2020-06-21,0,0
539,TG,A,2020-06-22,168,5629
540,TG,A,2020-06-23,0,0
541,TG,A,2020-06-24,0,0
542,TG,A,2020-06-25,0,0
543,TG,A,2020-06-26,0,0
544,TG,A,2020-06-27,2900,7000
545,TG,A,2020-06-28,0,0
546,TG,A,2020-06-29,5650,7000
547,TG,A,2020-06-30,0,0
548,TG,A,2020-07-01,1032,6909
549,TG,A,2020-07-02,0,0
550,TG,A,2020-07-03,1679,5512
551,TG,A,2020-07-04,0,0
552,TG,A,2020-07-05,0,0
553,TG,A,2020-07-06,0,0
554,TG,A,2020-07-07,0,0
555,TG,A,2020-07-08,0,0
556,TG,A,2020-07-09,120,7667
557,TG,A,2020-07-10,1168,6388
558,TG,A,2020-07-11,0,0
559,TG,A,2020-07-12,0,0
560,TG,A,2020-07-13,0,0
561,TG,A,2020-07-14,0,0
562,TG,A,2020-07-15,1868,5931
563,TG,A,2020-07-16,715,7456
564,TG,A,2020-07-17,186,8667
565,TG,A,2020-07-18,422,5159
566,TG,A,2020-07-19,0,0
567,TG,A,2020-07-20,1490,6660
568,TG,A,2020-07-21,0,0
569,TG,A,2020-07-22,0,0
570,TG,A,2020-07-23,0,0
571,TG,A,2020-07-24,0,0
572,TG,A,2020-07-25,270,6815
573,TG,A,2020-07-26,0,0
574,TG,A,2020-07-27,0,0
575,TG,A,2020-07-28,57,6667
576,TG,A,2020-07-29,40,9000
577,TG,A,2020-07-30,0,0
578,TG,A,2020-07-31,0,0
579,TG,A,2020-08-01,0,0
580,TG,A,2020-08-02,0,0
581,TG,A,2020-08-03,60,9000
582,TG,A,2020-08-04,0,0
583,TG,A,2020-08-05,0,0
584,TG,A,2020-08-06,0,0
585,TG,A,2020-08-07,0,0
586,TG,A,2020-08-08,0,0
587,TG,A,2020-08-09,0,0
588,TG,A,2020-08-10,0,0
589,TG,A,2020-08-11,0,0
590,TG,A,2020-08-12,0,0
591,TG,A,2020-08-13,0,0
592,TG,A,2020-08-14,0,0
593,TG,A,2020-08-15,0,0
594,TG,A,2020-08-16,0,0
595,TG,A,2020-08-17,777,7001
596,TG,A,2020-08-18,0,0
597,TG,A,2020-08-19,0,0
598,TG,A,2020-08-20,156,10122
599,TG,A,2020-08-21,0,0
600,TG,A,2020-08-22,0,0
601,TG,A,2020-08-23,0,0
602,TG,A,2020-08-24,0,0
603,TG,A,2020-08-25,0,0
604,TG,A,2020-08-26,792,7082
605,TG,A,2020-08-27,0,0
606,TG,A,2020-08-28,0,0
607,TG,A,2020-08-29,0,0
608,TG,A,2020-08-30,0,0
609,TG,A,2020-08-31,45,6333
610,TG,A,2020-09-01,440,6837
611,TG,A,2020-09-02,0,0
612,TG,A,2020-09-03,12,11333
613,TG,A,2020-09-04,0,0
614,TG,A,2020-09-05,0,0
615,TG,A,2020-09-06,0,0
616,TG,A,2020-09-07,0,0
617,TG,A,2020-09-08,0,0
618,TG,A,2020-09-09,405,5870
619,TG,A,2020-09-10,0,0
620,TG,A,2020-09-11,423,5628
621,TG,A,2020-09-12,723,5412
622,TG,A,2020-09-13,0,0
623,TG,A,2020-09-14,501,6338
624,TG,A,2020-09-15,594,5559
625,TG,A,2020-09-16,942,5510
626,TG,A,2020-09-17,1496,4571
627,TG,A,2020-09-18,0,0
628,TG,A,2020-09-19,528,4642
629,TG,A,2020-09-20,0,0
630,TG,A,2020-09-21,3893,6280
631,TG,A,2020-09-22,364,3250
632,TG,A,2020-09-23,0,0
633,TG,A,2020-09-24,360,5092
634,TG,A,2020-09-25,0,0
635,TG,A,2020-09-26,324,3133
636,TG,A,2020-09-27,0,0
637,TG,A,2020-09-28,2378,1694
638,TG,A,2020-09-29,836,1624
639,TG,A,2020-09-30,0,0
640,TG,A,2020-10-01,0,0
641,TG,A,2020-10-02,0,0
642,TG,A,2020-10-03,0,0
643,TG,A,2020-10-04,0,0
644,TG,A,2020-10-05,7080,1220
645,TG,A,2020-10-06,3800,2104
646,TG,A,2020-10-07,6505,1602
647,TG,A,2020-10-08,12901,2034
648,TG,A,2020-10-09,18690,1434
649,TG,A,2020-10-10,22270,1463
650,TG,A,2020-10-11,0,0
651,TG,A,2020-10-12,27234,1443
652,TG,A,2020-10-13,19820,1214
653,TG,A,2020-10-14,15910,1686
654,TG,A,2020-10-15,21468,1617
655,TG,A,2020-10-16,21085,1421
656,TG,A,2020-10-17,34531,1335
657,TG,A,2020-10-18,0,0
658,TG,A,2020-10-19,24430,1312
659,TG,A,2020-10-20,14875,1242
660,TG,A,2020-10-21,24470,1033
661,TG,A,2020-10-22,34563,1276
662,TG,A,2020-10-23,17115,1008
663,TG,A,2020-10-24,21365,1099
664,TG,A,2020-10-25,0,0
665,TG,A,2020-10-26,27310,1237
666,TG,A,2020-10-27,29605,1181
667,TG,A,2020-10-28,28495,996
668,TG,A,2020-10-29,27085,868
669,TG,A,2020-10-30,22655,1044
670,TG,A,2020-10-31,28225,1088
671,TG,A,2020-11-01,0,0
672,TG,A,2020-11-02,29338,997
673,TG,A,2020-11-03,28524,939
674,TG,A,2020-11-04,21556,897
675,TG,A,2020-11-05,13540,1165
676,TG,A,2020-11-06,16070,1300
677,TG,A,2020-11-07,23465,1070
678,TG,A,2020-11-08,0,0
679,TG,A,2020-11-09,31250,928
680,TG,A,2020-11-10,31132,1110
681,TG,A,2020-11-11,22105,907
682,TG,A,2020-11-12,30178,1151
683,TG,A,2020-11-13,17865,1066
684,TG,A,2020-11-14,18965,886
685,TG,A,2020-11-15,0,0
686,TG,A,2020-11-16,16735,1030
687,TG,A,2020-11-17,27800,1023
688,TG,A,2020-11-18,17108,1126
689,TG,A,2020-11-19,10555,1063
690,TG,A,2020-11-20,20650,823
691,TG,A,2020-11-21,56966,1209
692,TG,A,2020-11-22,0,0
693,TG,A,2020-11-23,53655,1333
694,TG,A,2020-11-24,55126,1326
695,TG,A,2020-11-25,45680,1391
696,TG,A,2020-11-26,47165,1439
697,TG,A,2020-11-27,62160,1332
698,TG,A,2020-11-28,44517,1071
699,TG,A,2020-11-29,0,0
700,TG,A,2020-11-30,60240,1232
701,TG,A,2020-12-01,69115,1175
702,TG,A,2020-12-02,63015,1107
703,TG,A,2020-12-03,16385,862
704,TG,A,2020-12-04,64192,1103
705,TG,A,2020-12-05,61507,1287
706,TG,A,2020-12-06,0,0
707,TG,A,2020-12-07,67840,1238
708,TG,A,2020-12-08,74065,1268
709,TG,A,2020-12-09,0,0
710,TG,A,2020-12-10,0,0
711,TG,A,2020-12-11,0,0
712,TG,A,2020-12-12,0,0
713,TG,A,2020-12-13,0,0
714,TG,A,2020-12-14,0,0
715,TG,A,2020-12-15,0,0
716,TG,A,2020-12-16,0,0
717,TG,A,2020-12-17,0,0
718,TG,A,2020-12-18,0,0
719,TG,A,2020-12-19,0,0
720,TG,A,2020-12-20,0,0
721,TG,A,2020-12-21,0,0
722,TG,A,2020-12-22,0,0
723,TG,A,2020-12-23,0,0
724,TG,A,2020-12-24,0,0
725,TG,A,2020-12-25,0,0
726,TG,A,2020-12-26,0,0
727,TG,A,2020-12-27,0,0
728,TG,A,2020-12-28,0,0
729,TG,A,2020-12-29,0,0
730,TG,A,2020-12-30,0,0
731,TG,A,2020-12-31,0,0
732,TG,A,2021-01-01,0,0
733,TG,A,2021-01-02,0,0
734,TG,A,2021-01-03,0,0
735,TG,A,2021-01-04,145468,1341
736,TG,A,2021-01-05,142910,1298
737,TG,A,2021-01-06,112490,1391
738,TG,A,2021-01-07,105330,1383
