date,item,corporation,location,model,answer
2023-12-09,BC,A,J,ExtraTree,1860.2476049533973
2023-12-10,BC,A,J,ExtraTree,1860.2476049533973
2023-12-11,BC,A,J,ExtraTree,1.9211111111111112
2023-12-12,BC,A,J,ExtraTree,2885.6884979406195
2023-12-13,BC,A,J,ExtraTree,2194.168440822851
2023-12-14,BC,A,J,ExtraTree,2231.543046721446
2023-12-15,BC,A,J,ExtraTree,2163.459659252491
2023-12-16,BC,A,J,ExtraTree,2080.188654787582
2023-12-17,BC,A,J,ExtraTree,2080.188654787582
2023-12-18,BC,A,J,ExtraTree,18.989420836250282
2023-12-19,BC,A,J,ExtraTree,2537.7679259998476
2023-12-20,BC,A,J,ExtraTree,2215.48303411489
2023-12-21,BC,A,J,ExtraTree,1988.8751468190717
2023-12-22,BC,A,J,ExtraTree,2052.237588511924
2023-12-23,BC,A,J,ExtraTree,2500.7095731413415
2023-12-24,BC,A,J,ExtraTree,2500.7095731413415
2023-12-25,BC,A,J,ExtraTree,3925.684608882797
2023-12-26,BC,A,J,ExtraTree,2452.9726302533004
2023-12-27,BC,A,J,ExtraTree,2606.3873477908082
2023-12-28,BC,A,J,ExtraTree,2177.915156918428
2023-12-29,BC,A,J,ExtraTree,2151.745191663513
2023-12-30,BC,A,J,ExtraTree,2434.9568535608696
2023-12-31,BC,A,J,ExtraTree,2434.9568535608696
2023-11-01,BC,A,S,ExtraTree,1958.107582225851
2023-11-02,BC,A,S,ExtraTree,2487.9197235073525
2023-11-03,BC,A,S,ExtraTree,3029.5899333083084
2023-11-04,BC,A,S,ExtraTree,3625.1256541603207
2023-11-05,BC,A,S,ExtraTree,3625.1256541603207
2023-11-06,BC,A,S,ExtraTree,99.93056191202645
2023-11-07,BC,A,S,ExtraTree,3377.2911974768626
2023-11-08,BC,A,S,ExtraTree,3454.2309017929674
2023-11-09,BC,A,S,ExtraTree,3339.37099291973
2023-11-10,BC,A,S,ExtraTree,3444.790998221174
2023-11-11,BC,A,S,ExtraTree,3327.466947064426
2023-11-12,BC,A,S,ExtraTree,3327.466947064426
2023-11-13,BC,A,S,ExtraTree,22.79
2023-11-14,BC,A,S,ExtraTree,3121.4034567629383
2023-11-15,BC,A,S,ExtraTree,2402.943179881923
2023-11-16,BC,A,S,ExtraTree,2208.0061866343067
2023-11-17,BC,A,S,ExtraTree,2055.7094485233265
2023-11-18,BC,A,S,ExtraTree,2241.7746706277944
2023-11-19,BC,A,S,ExtraTree,2241.7746706277944
2023-11-20,BC,A,S,ExtraTree,0.0
2023-11-21,BC,A,S,ExtraTree,3162.6998785136343
2023-11-22,BC,A,S,ExtraTree,2310.9822821116218
2023-11-23,BC,A,S,ExtraTree,2257.4301165274333
2023-11-24,BC,A,S,ExtraTree,2060.956264821718
2023-11-25,BC,A,S,ExtraTree,2180.7860118919584
2023-11-26,BC,A,S,ExtraTree,2180.7860118919584
2023-11-27,BC,A,S,ExtraTree,112.81749242424246
2023-11-28,BC,A,S,ExtraTree,3244.451201136974
2023-11-29,BC,A,S,ExtraTree,1928.8339618253624
2023-11-30,BC,A,S,ExtraTree,2048.4657966729637
2023-12-01,BC,A,S,ExtraTree,2051.503956403929
2023-12-02,BC,A,S,ExtraTree,2290.144661390448
2023-12-03,BC,A,S,ExtraTree,2290.144661390448
2023-12-04,BC,A,S,ExtraTree,0.0
2023-12-05,BC,A,S,ExtraTree,3195.9885519288337
2023-12-06,BC,A,S,ExtraTree,1929.9095409530985
2023-12-07,BC,A,S,ExtraTree,2135.8308492059427
2023-12-08,BC,A,S,ExtraTree,1873.097000258617
2023-12-09,BC,A,S,ExtraTree,1909.607125079415
2023-12-10,BC,A,S,ExtraTree,1909.607125079415
2023-12-11,BC,A,S,ExtraTree,0.0
2023-12-12,BC,A,S,ExtraTree,2969.5027167418857
2023-12-13,BC,A,S,ExtraTree,2364.456050812119
2023-12-14,BC,A,S,ExtraTree,2340.709979557587
2023-12-15,BC,A,S,ExtraTree,2338.004509191475
2023-12-16,BC,A,S,ExtraTree,2142.035004788511
2023-12-17,BC,A,S,ExtraTree,2142.035004788511
2023-12-18,BC,A,S,ExtraTree,0.0
2023-12-19,BC,A,S,ExtraTree,383.4892571929248
2023-12-20,BC,A,S,ExtraTree,2103.3731945846744
2023-12-21,BC,A,S,ExtraTree,2203.4713284615636
2023-12-22,BC,A,S,ExtraTree,2285.8331189740957
2023-12-23,BC,A,S,ExtraTree,2750.674241375996
2023-12-24,BC,A,S,ExtraTree,2750.674241375996
2023-12-25,BC,A,S,ExtraTree,3815.9622188355474
2023-12-26,BC,A,S,ExtraTree,2645.6459073718015
2023-12-27,BC,A,S,ExtraTree,2895.9888383737016
2023-12-28,BC,A,S,ExtraTree,2278.8226947130297
2023-12-29,BC,A,S,ExtraTree,2419.450361809065
2023-12-30,BC,A,S,ExtraTree,2765.5107933689196
2023-12-31,BC,A,S,ExtraTree,2765.5107933689196
2023-11-01,BC,B,J,ExtraTree,2.875
2023-11-02,BC,B,J,ExtraTree,1406.5264632034634
2023-11-03,BC,B,J,ExtraTree,3282.0358722943724
2023-11-04,BC,B,J,ExtraTree,1610.401642135642
2023-11-05,BC,B,J,ExtraTree,1610.401642135642
2023-11-06,BC,B,J,ExtraTree,15.018035714285713
2023-11-07,BC,B,J,ExtraTree,551.6570163725164
2023-11-08,BC,B,J,ExtraTree,1988.395561327562
2023-11-09,BC,B,J,ExtraTree,1690.4064217171715
2023-11-10,BC,B,J,ExtraTree,2136.426028138528
2023-11-11,BC,B,J,ExtraTree,2114.8428831168826
2023-11-12,BC,B,J,ExtraTree,2114.8428831168826
2023-11-13,BC,B,J,ExtraTree,4.84875
2023-11-14,BC,B,J,ExtraTree,1703.004048118548
2023-11-15,BC,B,J,ExtraTree,1488.312245670996
2023-11-16,BC,B,J,ExtraTree,1712.1883611111102
2023-11-17,BC,B,J,ExtraTree,2203.551748196248
2023-11-18,BC,B,J,ExtraTree,1716.9941096681098
2023-11-19,BC,B,J,ExtraTree,1716.9941096681098
2023-11-20,BC,B,J,ExtraTree,0.0
2023-11-21,BC,B,J,ExtraTree,1983.867512043512
2023-11-22,BC,B,J,ExtraTree,1888.9342319624816
2023-11-23,BC,B,J,ExtraTree,1681.6858831168831
2023-11-24,BC,B,J,ExtraTree,1803.1098199855696
2023-11-25,BC,B,J,ExtraTree,1560.3931500721492
2023-11-26,BC,B,J,ExtraTree,1560.3931500721492
2023-11-27,BC,B,J,ExtraTree,0.0
2023-11-28,BC,B,J,ExtraTree,1902.696709915085
2023-11-29,BC,B,J,ExtraTree,1614.102912337663
2023-11-30,BC,B,J,ExtraTree,1652.2390952380945
2023-12-01,BC,B,J,ExtraTree,1615.2855645743143
2023-12-02,BC,B,J,ExtraTree,1686.501013708514
2023-12-03,BC,B,J,ExtraTree,1686.501013708514
2023-12-04,BC,B,J,ExtraTree,0.0
2023-12-05,BC,B,J,ExtraTree,2438.719398594096
2023-12-06,BC,B,J,ExtraTree,1674.0395346320352
2023-12-07,BC,B,J,ExtraTree,2288.5561608946605
2023-12-08,BC,B,J,ExtraTree,1749.8890205627704
2023-12-09,BC,B,J,ExtraTree,2381.4988618326115
2023-12-10,BC,B,J,ExtraTree,2381.4988618326115
2023-12-11,BC,B,J,ExtraTree,0.0
2023-12-12,BC,B,J,ExtraTree,1987.0081756438008
2023-12-13,BC,B,J,ExtraTree,1910.296046536796
2023-12-14,BC,B,J,ExtraTree,2289.725464646465
2023-12-15,BC,B,J,ExtraTree,2131.5400057720053
2023-12-16,BC,B,J,ExtraTree,2327.2092211399718
2023-12-17,BC,B,J,ExtraTree,2327.2092211399718
2023-12-18,BC,B,J,ExtraTree,0.0
2023-12-19,BC,B,J,ExtraTree,2050.59676474914
2023-12-20,BC,B,J,ExtraTree,2167.893002525253
2023-12-21,BC,B,J,ExtraTree,2248.85541017316
2023-12-22,BC,B,J,ExtraTree,2236.25913997114
2023-12-23,BC,B,J,ExtraTree,2596.763664862916
2023-12-24,BC,B,J,ExtraTree,2596.763664862916
2023-12-25,BC,B,J,ExtraTree,2011.497772005771
2023-12-26,BC,B,J,ExtraTree,2555.262239410916
2023-12-27,BC,B,J,ExtraTree,1966.984653318904
2023-12-28,BC,B,J,ExtraTree,2476.088031024531
2023-12-29,BC,B,J,ExtraTree,2246.886301587301
2023-12-30,BC,B,J,ExtraTree,2575.094431096681
2023-12-31,BC,B,J,ExtraTree,2575.094431096681
2023-11-01,BC,B,S,ExtraTree,0.0
2023-11-02,BC,B,S,ExtraTree,0.0
2023-11-03,BC,B,S,ExtraTree,0.03852112676056337
2023-11-04,BC,B,S,ExtraTree,0.0
2023-11-05,BC,B,S,ExtraTree,0.0
2023-11-06,BC,B,S,ExtraTree,0.0
2023-11-07,BC,B,S,ExtraTree,0.022865853658536574
2023-11-08,BC,B,S,ExtraTree,0.0
2023-11-09,BC,B,S,ExtraTree,0.0
2023-11-10,BC,B,S,ExtraTree,0.03852112676056337
2023-11-11,BC,B,S,ExtraTree,0.0
2023-11-12,BC,B,S,ExtraTree,0.0
2023-11-13,BC,B,S,ExtraTree,0.0
2023-11-14,BC,B,S,ExtraTree,0.022865853658536574
2023-11-15,BC,B,S,ExtraTree,0.0
2023-11-16,BC,B,S,ExtraTree,0.0
2023-11-17,BC,B,S,ExtraTree,0.03852112676056337
2023-11-18,BC,B,S,ExtraTree,0.0
2023-11-19,BC,B,S,ExtraTree,0.0
2023-11-20,BC,B,S,ExtraTree,0.0
2023-11-21,BC,B,S,ExtraTree,5.802786488579172
2023-11-22,BC,B,S,ExtraTree,0.0
2023-11-23,BC,B,S,ExtraTree,6.3756590909090916
2023-11-24,BC,B,S,ExtraTree,0.03852112676056337
2023-11-25,BC,B,S,ExtraTree,0.0
2023-11-26,BC,B,S,ExtraTree,0.0
2023-11-27,BC,B,S,ExtraTree,0.0
2023-11-28,BC,B,S,ExtraTree,6.281980933023616
2023-11-29,BC,B,S,ExtraTree,0.0
2023-11-30,BC,B,S,ExtraTree,0.0
2023-12-01,BC,B,S,ExtraTree,0.03852112676056337
2023-12-02,BC,B,S,ExtraTree,1.7421875
2023-12-03,BC,B,S,ExtraTree,1.7421875
2023-12-04,BC,B,S,ExtraTree,0.0
2023-12-05,BC,B,S,ExtraTree,0.022865853658536574
2023-12-06,BC,B,S,ExtraTree,0.0
2023-12-07,BC,B,S,ExtraTree,0.0
2023-12-08,BC,B,S,ExtraTree,0.03852112676056337
2023-12-09,BC,B,S,ExtraTree,0.7421875
2023-12-10,BC,B,S,ExtraTree,0.7421875
2023-12-11,BC,B,S,ExtraTree,0.0
2023-12-12,BC,B,S,ExtraTree,0.022865853658536574
2023-12-13,BC,B,S,ExtraTree,0.0
2023-12-14,BC,B,S,ExtraTree,0.0
2023-12-15,BC,B,S,ExtraTree,0.03852112676056337
2023-12-16,BC,B,S,ExtraTree,0.0
2023-12-17,BC,B,S,ExtraTree,0.0
2023-12-18,BC,B,S,ExtraTree,0.0
2023-12-19,BC,B,S,ExtraTree,1.021892868310551
2023-12-20,BC,B,S,ExtraTree,0.0
2023-12-21,BC,B,S,ExtraTree,0.0
2023-12-22,BC,B,S,ExtraTree,0.03852112676056337
2023-12-23,BC,B,S,ExtraTree,0.0
2023-12-24,BC,B,S,ExtraTree,0.0
2023-12-25,BC,B,S,ExtraTree,0.023262411347517727
2023-12-26,BC,B,S,ExtraTree,0.022865853658536574
2023-12-27,BC,B,S,ExtraTree,0.0
2023-12-28,BC,B,S,ExtraTree,0.0
2023-12-29,BC,B,S,ExtraTree,0.03852112676056337
2023-12-30,BC,B,S,ExtraTree,0.0
2023-12-31,BC,B,S,ExtraTree,0.0
2023-11-01,BC,C,J,ExtraTree,208.5885894989887
2023-11-02,BC,C,J,ExtraTree,290.1817497614634
2023-11-03,BC,C,J,ExtraTree,249.74835957793982
2023-11-04,BC,C,J,ExtraTree,1866.60211992018
2023-11-05,BC,C,J,ExtraTree,1866.60211992018
2023-11-06,BC,C,J,ExtraTree,19.136904761904766
2023-11-07,BC,C,J,ExtraTree,1676.3139379534932
2023-11-08,BC,C,J,ExtraTree,1594.668711653525
2023-11-09,BC,C,J,ExtraTree,1501.3209489779392
2023-11-10,BC,C,J,ExtraTree,1748.9159566999642
2023-11-11,BC,C,J,ExtraTree,1829.4285770487913
2023-11-12,BC,C,J,ExtraTree,1829.4285770487913
2023-11-13,BC,C,J,ExtraTree,2.6656438527147905
2023-11-14,BC,C,J,ExtraTree,2360.63018553214
2023-11-15,BC,C,J,ExtraTree,1796.718580273509
2023-11-16,BC,C,J,ExtraTree,1804.1483755313072
2023-11-17,BC,C,J,ExtraTree,1832.8149496988574
2023-11-18,BC,C,J,ExtraTree,1901.6816864478926
2023-11-19,BC,C,J,ExtraTree,1901.6816864478926
2023-11-20,BC,C,J,ExtraTree,4.756992117976099
2023-11-21,BC,C,J,ExtraTree,1747.5722055393553
2023-11-22,BC,C,J,ExtraTree,1390.6716949848405
2023-11-23,BC,C,J,ExtraTree,2121.1665922350758
2023-11-24,BC,C,J,ExtraTree,1650.0057007310118
2023-11-25,BC,C,J,ExtraTree,1707.196116936124
2023-11-26,BC,C,J,ExtraTree,1707.196116936124
2023-11-27,BC,C,J,ExtraTree,3.141131815044859
2023-11-28,BC,C,J,ExtraTree,1942.3409891619467
2023-11-29,BC,C,J,ExtraTree,1358.1093590390833
2023-11-30,BC,C,J,ExtraTree,2056.216037155929
2023-12-01,BC,C,J,ExtraTree,1849.0344247181242
2023-12-02,BC,C,J,ExtraTree,2191.639444745906
2023-12-03,BC,C,J,ExtraTree,2191.639444745906
2023-12-04,BC,C,J,ExtraTree,38.09542189630862
2023-12-05,BC,C,J,ExtraTree,1910.7591561331492
2023-12-06,BC,C,J,ExtraTree,1798.2539341208608
2023-12-07,BC,C,J,ExtraTree,2269.0583841880443
2023-12-08,BC,C,J,ExtraTree,1843.8438493391307
2023-12-09,BC,C,J,ExtraTree,1389.6069882440224
2023-12-10,BC,C,J,ExtraTree,1389.6069882440224
2023-12-11,BC,C,J,ExtraTree,0.4545454545454546
2023-12-12,BC,C,J,ExtraTree,3069.1442658523893
2023-12-13,BC,C,J,ExtraTree,1802.2399198726507
2023-12-14,BC,C,J,ExtraTree,2465.966157750907
2023-12-15,BC,C,J,ExtraTree,2307.1692727336094
2023-12-16,BC,C,J,ExtraTree,2143.28185186881
2023-12-17,BC,C,J,ExtraTree,2143.28185186881
2023-12-18,BC,C,J,ExtraTree,0.4545454545454546
2023-12-19,BC,C,J,ExtraTree,2721.377908113902
2023-12-20,BC,C,J,ExtraTree,1937.7227418130005
2023-12-21,BC,C,J,ExtraTree,2276.9430559944512
2023-12-22,BC,C,J,ExtraTree,2065.444438761711
2023-12-23,BC,C,J,ExtraTree,2213.928490028149
2023-12-24,BC,C,J,ExtraTree,2213.928490028149
2023-12-25,BC,C,J,ExtraTree,2206.9343322582727
2023-12-26,BC,C,J,ExtraTree,2927.6817034833784
2023-12-27,BC,C,J,ExtraTree,2107.3228264055656
2023-12-28,BC,C,J,ExtraTree,2372.520515542503
2023-12-29,BC,C,J,ExtraTree,1952.5927705372378
2023-12-30,BC,C,J,ExtraTree,2225.603182874554
2023-12-31,BC,C,J,ExtraTree,2225.603182874554
2023-11-01,BC,C,S,ExtraTree,40.84196226206203
2023-11-02,BC,C,S,ExtraTree,0.0
2023-11-03,BC,C,S,ExtraTree,0.1881528662420382
2023-11-04,BC,C,S,ExtraTree,0.0
2023-11-05,BC,C,S,ExtraTree,0.0
2023-11-06,BC,C,S,ExtraTree,0.0
2023-11-07,BC,C,S,ExtraTree,0.21177489575668382
2023-11-08,BC,C,S,ExtraTree,0.0
2023-11-09,BC,C,S,ExtraTree,0.0
2023-11-10,BC,C,S,ExtraTree,0.1881528662420382
2023-11-11,BC,C,S,ExtraTree,0.0
2023-11-12,BC,C,S,ExtraTree,0.0
2023-11-13,BC,C,S,ExtraTree,0.0
2023-11-14,BC,C,S,ExtraTree,0.21177489575668382
2023-11-15,BC,C,S,ExtraTree,0.0
2023-11-16,BC,C,S,ExtraTree,0.0
2023-11-17,BC,C,S,ExtraTree,0.1881528662420382
2023-11-18,BC,C,S,ExtraTree,0.0
2023-11-19,BC,C,S,ExtraTree,0.0
2023-11-20,BC,C,S,ExtraTree,0.0
2023-11-21,BC,C,S,ExtraTree,0.21177489575668382
2023-11-22,BC,C,S,ExtraTree,0.0
2023-11-23,BC,C,S,ExtraTree,0.0
2023-11-24,BC,C,S,ExtraTree,0.1881528662420382
2023-11-25,BC,C,S,ExtraTree,0.0
2023-11-26,BC,C,S,ExtraTree,0.0
2023-11-27,BC,C,S,ExtraTree,0.0
2023-11-28,BC,C,S,ExtraTree,0.21177489575668382
2023-11-29,BC,C,S,ExtraTree,0.0
2023-11-30,BC,C,S,ExtraTree,12.424329976985138
2023-12-01,BC,C,S,ExtraTree,0.1881528662420382
2023-12-02,BC,C,S,ExtraTree,0.0
2023-12-03,BC,C,S,ExtraTree,0.0
2023-12-04,BC,C,S,ExtraTree,0.0
2023-12-05,BC,C,S,ExtraTree,0.21177489575668382
2023-12-06,BC,C,S,ExtraTree,0.0
2023-12-07,BC,C,S,ExtraTree,0.0
2023-12-08,BC,C,S,ExtraTree,0.1881528662420382
2023-12-09,BC,C,S,ExtraTree,0.0
2023-12-10,BC,C,S,ExtraTree,0.0
2023-12-11,BC,C,S,ExtraTree,0.0
2023-12-12,BC,C,S,ExtraTree,0.21177489575668382
2023-12-13,BC,C,S,ExtraTree,0.0
2023-12-14,BC,C,S,ExtraTree,16.819843834232174
2023-12-15,BC,C,S,ExtraTree,22.601503644918658
2023-12-16,BC,C,S,ExtraTree,15.728316740636117
2023-12-17,BC,C,S,ExtraTree,15.728316740636117
2023-12-18,BC,C,S,ExtraTree,14.37659376766314
2023-12-19,BC,C,S,ExtraTree,32.09956218236981
2023-12-20,BC,C,S,ExtraTree,2237.8321110419142
2023-12-21,BC,C,S,ExtraTree,35.15731006330271
2023-12-22,BC,C,S,ExtraTree,0.1881528662420382
2023-12-23,BC,C,S,ExtraTree,0.0
2023-12-24,BC,C,S,ExtraTree,0.0
2023-12-25,BC,C,S,ExtraTree,0.0
2023-12-26,BC,C,S,ExtraTree,0.21177489575668382
2023-12-27,BC,C,S,ExtraTree,0.0
2023-12-28,BC,C,S,ExtraTree,0.0
2023-12-29,BC,C,S,ExtraTree,0.1881528662420382
2023-12-30,BC,C,S,ExtraTree,0.0
2023-12-31,BC,C,S,ExtraTree,0.0
2023-11-01,BC,D,J,ExtraTree,1859.9075440039658
2023-11-02,BC,D,J,ExtraTree,3277.7988364393905
2023-11-03,BC,D,J,ExtraTree,3452.2234034876724
2023-11-04,BC,D,J,ExtraTree,3439.0121596334543
2023-11-05,BC,D,J,ExtraTree,3439.0121596334543
2023-11-06,BC,D,J,ExtraTree,125.01130208333333
2023-11-07,BC,D,J,ExtraTree,2775.327453419467
2023-11-08,BC,D,J,ExtraTree,2891.3095681367176
2023-11-09,BC,D,J,ExtraTree,3261.2184212393945
2023-11-10,BC,D,J,ExtraTree,3633.894919092354
2023-11-11,BC,D,J,ExtraTree,3103.8699080871816
2023-11-12,BC,D,J,ExtraTree,3103.8699080871816
2023-11-13,BC,D,J,ExtraTree,115.29253759057971
2023-11-14,BC,D,J,ExtraTree,2668.0768439303624
2023-11-15,BC,D,J,ExtraTree,1778.0547162531032
2023-11-16,BC,D,J,ExtraTree,1922.7803616604176
2023-11-17,BC,D,J,ExtraTree,1930.1287287665778
2023-11-18,BC,D,J,ExtraTree,2199.290589984485
2023-11-19,BC,D,J,ExtraTree,2199.290589984485
2023-11-20,BC,D,J,ExtraTree,0.436
2023-11-21,BC,D,J,ExtraTree,1703.4317651856286
2023-11-22,BC,D,J,ExtraTree,1728.9465861019821
2023-11-23,BC,D,J,ExtraTree,1731.2477557933798
2023-11-24,BC,D,J,ExtraTree,1600.8428420228147
2023-11-25,BC,D,J,ExtraTree,1896.185515129614
2023-11-26,BC,D,J,ExtraTree,1896.185515129614
2023-11-27,BC,D,J,ExtraTree,17.685800317329733
2023-11-28,BC,D,J,ExtraTree,2531.9770699816154
2023-11-29,BC,D,J,ExtraTree,1837.0422108978073
2023-11-30,BC,D,J,ExtraTree,1957.1875018019805
2023-12-01,BC,D,J,ExtraTree,1765.841130780962
2023-12-02,BC,D,J,ExtraTree,2216.663257299406
2023-12-03,BC,D,J,ExtraTree,2216.663257299406
2023-12-04,BC,D,J,ExtraTree,12.728608391608393
2023-12-05,BC,D,J,ExtraTree,2344.8200208523886
2023-12-06,BC,D,J,ExtraTree,1772.6478023277218
2023-12-07,BC,D,J,ExtraTree,1922.1674851686673
2023-12-08,BC,D,J,ExtraTree,1642.1918533581045
2023-12-09,BC,D,J,ExtraTree,2014.3010764621195
2023-12-10,BC,D,J,ExtraTree,2014.3010764621195
2023-12-11,BC,D,J,ExtraTree,24.006340909090905
2023-12-12,BC,D,J,ExtraTree,2515.5437363334995
2023-12-13,BC,D,J,ExtraTree,2220.369057125113
2023-12-14,BC,D,J,ExtraTree,2239.308715935039
2023-12-15,BC,D,J,ExtraTree,2429.308219233677
2023-12-16,BC,D,J,ExtraTree,2130.3357006741303
2023-12-17,BC,D,J,ExtraTree,2130.3357006741303
2023-12-18,BC,D,J,ExtraTree,12.074608391608393
2023-12-19,BC,D,J,ExtraTree,2930.0745491986163
2023-12-20,BC,D,J,ExtraTree,2317.169581612198
2023-12-21,BC,D,J,ExtraTree,1965.5889331780688
2023-12-22,BC,D,J,ExtraTree,1883.3375618422187
2023-12-23,BC,D,J,ExtraTree,2243.629976869801
2023-12-24,BC,D,J,ExtraTree,2243.629976869801
2023-12-25,BC,D,J,ExtraTree,3558.589311980546
2023-12-26,BC,D,J,ExtraTree,2406.676775941903
2023-12-27,BC,D,J,ExtraTree,2436.7652629297854
2023-12-28,BC,D,J,ExtraTree,2093.2639908670485
2023-12-29,BC,D,J,ExtraTree,2131.0053836503316
2023-12-30,BC,D,J,ExtraTree,2409.797286106067
2023-12-31,BC,D,J,ExtraTree,2409.797286106067
2023-11-01,BC,E,J,ExtraTree,2735.1591536924916
2023-11-02,BC,E,J,ExtraTree,3710.263075360922
2023-11-03,BC,E,J,ExtraTree,3591.719408129091
2023-11-04,BC,E,J,ExtraTree,3604.456617473866
2023-11-05,BC,E,J,ExtraTree,3604.456617473866
2023-11-06,BC,E,J,ExtraTree,49.915368262074544
2023-11-07,BC,E,J,ExtraTree,2969.8522013624215
2023-11-08,BC,E,J,ExtraTree,3015.855643008287
2023-11-09,BC,E,J,ExtraTree,3631.520235423384
2023-11-10,BC,E,J,ExtraTree,3714.7762127953756
2023-11-11,BC,E,J,ExtraTree,3514.933890681962
2023-11-12,BC,E,J,ExtraTree,3514.933890681962
2023-11-13,BC,E,J,ExtraTree,45.65083697834097
2023-11-14,BC,E,J,ExtraTree,2765.7613626547313
2023-11-15,BC,E,J,ExtraTree,2191.351415996949
2023-11-16,BC,E,J,ExtraTree,2555.686223551582
2023-11-17,BC,E,J,ExtraTree,1926.9395881844844
2023-11-18,BC,E,J,ExtraTree,2357.950000413991
2023-11-19,BC,E,J,ExtraTree,2357.950000413991
2023-11-20,BC,E,J,ExtraTree,1.1523281768941
2023-11-21,BC,E,J,ExtraTree,2457.546997019978
2023-11-22,BC,E,J,ExtraTree,2178.35468589078
2023-11-23,BC,E,J,ExtraTree,2173.644214838371
2023-11-24,BC,E,J,ExtraTree,1727.023766999212
2023-11-25,BC,E,J,ExtraTree,1995.240027363837
2023-11-26,BC,E,J,ExtraTree,1995.240027363837
2023-11-27,BC,E,J,ExtraTree,11.052047043956271
2023-11-28,BC,E,J,ExtraTree,2407.655584302449
2023-11-29,BC,E,J,ExtraTree,1943.294465397979
2023-11-30,BC,E,J,ExtraTree,2151.698996286074
2023-12-01,BC,E,J,ExtraTree,1773.4986270193103
2023-12-02,BC,E,J,ExtraTree,2128.7939824598557
2023-12-03,BC,E,J,ExtraTree,2128.7939824598557
2023-12-04,BC,E,J,ExtraTree,7.182850382948915
2023-12-05,BC,E,J,ExtraTree,2236.8027247554246
2023-12-06,BC,E,J,ExtraTree,1917.3402976487844
2023-12-07,BC,E,J,ExtraTree,2117.257244164067
2023-12-08,BC,E,J,ExtraTree,1746.6896644392214
2023-12-09,BC,E,J,ExtraTree,2194.863860471323
2023-12-10,BC,E,J,ExtraTree,2194.863860471323
2023-12-11,BC,E,J,ExtraTree,22.359531897926633
2023-12-12,BC,E,J,ExtraTree,2526.7416845281405
2023-12-13,BC,E,J,ExtraTree,2249.2434486793563
2023-12-14,BC,E,J,ExtraTree,2409.3554636555286
2023-12-15,BC,E,J,ExtraTree,2271.746439510136
2023-12-16,BC,E,J,ExtraTree,2134.656841270713
2023-12-17,BC,E,J,ExtraTree,2134.656841270713
2023-12-18,BC,E,J,ExtraTree,8.437842085690619
2023-12-19,BC,E,J,ExtraTree,2853.0032370781687
2023-12-20,BC,E,J,ExtraTree,2988.765507516578
2023-12-21,BC,E,J,ExtraTree,2109.716659100416
2023-12-22,BC,E,J,ExtraTree,2057.27129621389
2023-12-23,BC,E,J,ExtraTree,2605.47111908614
2023-12-24,BC,E,J,ExtraTree,2605.47111908614
2023-12-25,BC,E,J,ExtraTree,3493.4343700727354
2023-12-26,BC,E,J,ExtraTree,2410.879140130697
2023-12-27,BC,E,J,ExtraTree,2323.837764774331
2023-12-28,BC,E,J,ExtraTree,2211.780587151893
2023-12-29,BC,E,J,ExtraTree,2067.5329142546893
2023-12-30,BC,E,J,ExtraTree,2227.9232621120236
